Para o Dataset 2 e respetivo input, numa amostra de 10 repetições foram registados os seguintes dados:
 Nº | SUCESSO |   MEDIA   | DESVIO PADRÃO |  MÍNIMO   |  MÁXIMO
L   |    1    | 121.1019272 |   2.5527597   | 117.7219543 | 126.8224640
1   |    1    | 0.0002038 |   0.0000381   | 0.0001630 | 0.0002960
2   |    1    | 0.0000852 |   0.0000196   | 0.0000660 | 0.0001190
3   |    1    | 0.0021177 |   0.0001464   | 0.0019670 | 0.0023780
4   |    1    | 0.0001255 |   0.0000606   | 0.0000860 | 0.0002890
5   |    1    | 1.6775787 |   0.2244175   | 1.3969020 | 2.0285959
6   |    1    | 1.3278100 |   0.0587981   | 1.2816720 | 1.4621710
7   |    1    | 0.0001141 |   0.0000302   | 0.0000800 | 0.0001640
8   |    1    | 0.0006444 |   0.0001436   | 0.0005260 | 0.0009240
9   |    1    | 1.3322752 |   0.0645778   | 1.2244740 | 1.4248580
10  |    1    | 1.7506696 |   0.2668971   | 1.3666760 | 2.1040239
11  |    1    | 0.0001250 |   0.0000239   | 0.0001020 | 0.0001860
12  |    1    | 0.0000920 |   0.0000248   | 0.0000680 | 0.0001370
13  |    1    | 0.0000786 |   0.0000125   | 0.0000600 | 0.0001020
14  |    1    | 0.0000800 |   0.0000244   | 0.0000570 | 0.0001240
15  |    1    | 0.0000777 |   0.0000175   | 0.0000560 | 0.0001060
16  |    1    | 0.0000645 |   0.0000141   | 0.0000520 | 0.0000960
17  |    1    | 1.7327810 |   0.2506450   | 1.3679210 | 2.0202451
18  |    1    | 0.0001192 |   0.0000293   | 0.0000940 | 0.0001670
19  |    1    | 0.0000915 |   0.0000196   | 0.0000690 | 0.0001350
20  |    1    | 0.0000821 |   0.0000179   | 0.0000630 | 0.0001230
21  |    1    | 0.0000236 |   0.0000030   | 0.0000200 | 0.0000300
22  |    1    | 1.3701385 |   0.0619072   | 1.2662940 | 1.4720550
23  |    1    | 1.7270981 |   0.2674942   | 1.3556570 | 2.1886439
24  |    1    | 1.4133389 |   0.0560651   | 1.3384500 | 1.5006800
25  |    1    | 1.3896666 |   0.0672156   | 1.2763400 | 1.5001140
26  |    1    | 0.0001154 |   0.0000433   | 0.0000840 | 0.0002120
27  |    1    | 1.3592780 |   0.1071011   | 1.2411610 | 1.5892680
28  |    1    | 1.4544705 |   0.0720333   | 1.3577390 | 1.5714750
29  |    1    | 0.0000364 |   0.0000106   | 0.0000270 | 0.0000550
30  |    1    | 0.0000986 |   0.0000226   | 0.0000770 | 0.0001380
31  |    1    | 0.0000988 |   0.0000237   | 0.0000670 | 0.0001380
