Para o Dataset 3 e respetivo input, numa amostra de 10 repetições foram registados os seguintes dados:
 Nº |   MEDIA   | DESVIO PADRÃO |  MÍNIMO   |  MÁXIMO
L   | 8.3807204 |   0.1580927   | 8.0310888 | 8.5945444
1   | 0.0001818 |   0.0000179   | 0.0001560 | 0.0002030
2   | 0.0000684 |   0.0000058   | 0.0000610 | 0.0000760
3   | 0.0000606 |   0.0000074   | 0.0000510 | 0.0000730
4   | 0.0000624 |   0.0000085   | 0.0000490 | 0.0000740
5   | 0.0000558 |   0.0000059   | 0.0000500 | 0.0000680
6   | 0.0000528 |   0.0000047   | 0.0000460 | 0.0000620
7   | 0.0000519 |   0.0000067   | 0.0000450 | 0.0000660
8   | 0.0000554 |   0.0000063   | 0.0000450 | 0.0000670
9   | 0.0000549 |   0.0000060   | 0.0000460 | 0.0000670
10  | 0.0000532 |   0.0000052   | 0.0000470 | 0.0000630
11  | 0.0000194 |   0.0000109   | 0.0000140 | 0.0000500
12  | 0.0000555 |   0.0000072   | 0.0000470 | 0.0000690
13  | 0.0000728 |   0.0000368   | 0.0000480 | 0.0001530
14  | 0.0000552 |   0.0000083   | 0.0000450 | 0.0000730
15  | 0.0000524 |   0.0000051   | 0.0000440 | 0.0000610
16  | 0.0000529 |   0.0000054   | 0.0000440 | 0.0000610
17  | 0.0000526 |   0.0000063   | 0.0000430 | 0.0000620
18  | 0.0000529 |   0.0000043   | 0.0000480 | 0.0000590
19  | 0.0000546 |   0.0000063   | 0.0000450 | 0.0000640
20  | 0.0000559 |   0.0000145   | 0.0000460 | 0.0000960
21  | 0.0000501 |   0.0000087   | 0.0000340 | 0.0000680
22  | 0.0000537 |   0.0000071   | 0.0000450 | 0.0000680
23  | 0.0000548 |   0.0000072   | 0.0000470 | 0.0000710
24  | 0.0000595 |   0.0000058   | 0.0000530 | 0.0000730
25  | 0.0000782 |   0.0000136   | 0.0000620 | 0.0001100
26  | 0.0001003 |   0.0000113   | 0.0000830 | 0.0001150
27  | 0.0002441 |   0.0000247   | 0.0002040 | 0.0002870
28  | 0.0003035 |   0.0000421   | 0.0002540 | 0.0004000
29  | 0.0003785 |   0.0000384   | 0.0003170 | 0.0004280
30  | 0.0004834 |   0.0000544   | 0.0004090 | 0.0006020
31  | 0.0000690 |   0.0000135   | 0.0000490 | 0.0000920
32  | 0.0000644 |   0.0000098   | 0.0000500 | 0.0000810
33  | 0.0000773 |   0.0000512   | 0.0000470 | 0.0002210
34  | 0.0000872 |   0.0000587   | 0.0000500 | 0.0002380
35  | 0.0000826 |   0.0000207   | 0.0000610 | 0.0001260
36  | 0.0000944 |   0.0000133   | 0.0000770 | 0.0001230
37  | 0.0002034 |   0.0000588   | 0.0001450 | 0.0003100
38  | 0.0002548 |   0.0000220   | 0.0002220 | 0.0002810
39  | 0.0003299 |   0.0000286   | 0.0002890 | 0.0003830
40  | 0.0004100 |   0.0000346   | 0.0003600 | 0.0004640
41  | 0.0000601 |   0.0000105   | 0.0000460 | 0.0000800
42  | 0.0000544 |   0.0000076   | 0.0000460 | 0.0000700
43  | 0.1448557 |   0.0096413   | 0.1319740 | 0.1591810
44  | 0.1443129 |   0.0101821   | 0.1278900 | 0.1619290
45  | 0.1469900 |   0.0126124   | 0.1293050 | 0.1631230
46  | 0.1484037 |   0.0118822   | 0.1321070 | 0.1604460
47  | 0.1468676 |   0.0097637   | 0.1317320 | 0.1642540
48  | 0.1475031 |   0.0098286   | 0.1339980 | 0.1630640
49  | 0.1505478 |   0.0109773   | 0.1324320 | 0.1657440
50  | 0.1578866 |   0.0117946   | 0.1329850 | 0.1725460
51  | 0.1508477 |   0.0110821   | 0.1302350 | 0.1703500
52  | 0.1449556 |   0.0036028   | 0.1390120 | 0.1499670
53  | 0.1396407 |   0.0086398   | 0.1235270 | 0.1537510
54  | 0.1448902 |   0.0075638   | 0.1301630 | 0.1563150
55  | 0.1488004 |   0.0084313   | 0.1380730 | 0.1671540
56  | 0.1473804 |   0.0087655   | 0.1365180 | 0.1612230
57  | 0.1423632 |   0.0070913   | 0.1329690 | 0.1535220
58  | 0.1415860 |   0.0078429   | 0.1309730 | 0.1514790
59  | 0.1410281 |   0.0073260   | 0.1242660 | 0.1523150
60  | 0.1398675 |   0.0087208   | 0.1221010 | 0.1515750
61  | 0.1410151 |   0.0066183   | 0.1247450 | 0.1480500
62  | 0.1390692 |   0.0089484   | 0.1238510 | 0.1544400
63  | 0.1376699 |   0.0059539   | 0.1258170 | 0.1446760
64  | 0.1388508 |   0.0096148   | 0.1249770 | 0.1561000
65  | 0.1396338 |   0.0091392   | 0.1250490 | 0.1577250
66  | 0.1415672 |   0.0064214   | 0.1302110 | 0.1553250
67  | 0.1393499 |   0.0084521   | 0.1256510 | 0.1532700
68  | 0.1390591 |   0.0099967   | 0.1269050 | 0.1572650
69  | 0.1417836 |   0.0124150   | 0.1239950 | 0.1619180
70  | 0.1460088 |   0.0126750   | 0.1261520 | 0.1660500
71  | 0.1482204 |   0.0121919   | 0.1328890 | 0.1686700
72  | 0.1476839 |   0.0079907   | 0.1356720 | 0.1577800
73  | 0.1427043 |   0.0078234   | 0.1296460 | 0.1540930
74  | 0.1436460 |   0.0077021   | 0.1320820 | 0.1597370
75  | 0.1456784 |   0.0094365   | 0.1258250 | 0.1597340
76  | 0.1443636 |   0.0082805   | 0.1312520 | 0.1563650
